Open,High,Low,Close,Volume,Change,ma5,ma20,ma60,ma120
55500,56100,55200,55500,10031448,0.003616636528029,57180.0,60540.0,61253.333333333336,64378.333333333336
55400,56000,54500,55400,13547030,-0.0018018018018017,57180.0,60540.0,61253.333333333336,64378.333333333336
55700,58000,55600,57800,20188071,0.0433212996389891,57180.0,60540.0,61253.333333333336,64378.333333333336
58200,58800,57600,58200,15682826,0.0069204152249136,57180.0,60540.0,61253.333333333336,64378.333333333336
58300,59400,57900,59000,17334989,0.0137457044673539,57180.0,60540.0,61253.333333333336,64378.333333333336
59700,60700,59600,60700,18640107,0.028813559322034,58220.0,60540.0,61253.333333333336,64378.333333333336
60200,61100,59900,60400,14859797,-0.0049423393739703,59220.0,60540.0,61253.333333333336,64378.333333333336
61000,61200,60300,60500,12310751,0.0016556291390728,59760.0,60540.0,61253.333333333336,64378.333333333336
61100,61200,59900,60500,16102561,0.0,60220.0,60540.0,61253.333333333336,64378.333333333336
60500,61200,60400,60800,12510328,0.0049586776859504,60580.0,60540.0,61253.333333333336,64378.333333333336
61300,61600,60800,61100,10039972,0.0049342105263157,60660.0,60540.0,61253.333333333336,64378.333333333336
61200,61500,60600,61000,9831456,-0.0016366612111292,60780.0,60540.0,61253.333333333336,64378.333333333336
60700,61000,59900,60400,11584041,-0.0098360655737704,60760.0,60540.0,61253.333333333336,64378.333333333336
60500,61500,60400,61500,12808490,0.0182119205298012,60960.0,60540.0,61253.333333333336,64378.333333333336
62100,62300,61100,61800,9646327,0.0048780487804878,61160.0,60540.0,61253.333333333336,64378.333333333336
63500,63700,63000,63400,16822710,0.0258899676375403,61620.0,60540.0,61253.333333333336,64378.333333333336
63800,63900,63300,63900,13278277,0.0078864353312302,62200.0,60540.0,61253.333333333336,64378.333333333336
64400,65000,63900,64600,18760182,0.0109546165884193,63040.0,60540.0,61253.333333333336,64378.333333333336
64900,64900,63100,63300,20995234,-0.0201238390092879,63400.0,60540.0,61253.333333333336,64378.333333333336
63500,63700,61000,61000,29746731,-0.0363349131121643,63240.0,60540.0,61253.333333333336,64378.333333333336
62600,62700,61000,61800,18570133,0.0131147540983607,62920.0,60855.0,61253.333333333336,64378.333333333336
63200,63900,62600,63500,23285983,0.0275080906148867,62840.0,61260.0,61253.333333333336,64378.333333333336
63900,64000,63000,63800,15194598,0.0047244094488188,62680.0,61560.0,61253.333333333336,64378.333333333336
62800,63000,61600,61600,15529356,-0.0344827586206896,62340.0,61730.0,61253.333333333336,64378.333333333336
61900,62500,61600,61900,14491039,0.0048701298701299,62520.0,61875.0,61253.333333333336,64378.333333333336
62800,63300,62400,63100,12243125,0.0193861066235865,62780.0,61995.0,61253.333333333336,64378.333333333336
63000,63300,62300,63000,12164865,-0.0015847860538826,62680.0,62125.0,61253.333333333336,64378.333333333336
62600,63000,62400,62800,9382576,-0.0031746031746031,62480.0,62240.0,61253.333333333336,64378.333333333336
62900,63000,62300,62900,10730362,0.0015923566878981,62740.0,62360.0,61253.333333333336,64378.333333333336
63600,63900,63200,63200,9126664,0.0047694753577105,63000.0,62480.0,61253.333333333336,64378.333333333336
63900,63900,62000,62200,13208103,-0.0158227848101265,62820.0,62535.0,61253.333333333336,64378.333333333336
62500,63700,62400,63700,13798831,0.0241157556270097,62960.0,62670.0,61253.333333333336,64378.333333333336
62900,63300,62400,62600,10791265,-0.0172684458398744,62920.0,62780.0,61253.333333333336,64378.333333333336
62900,63000,61800,62700,12908073,0.0015974440894568,62880.0,62840.0,61253.333333333336,64378.333333333336
62700,62800,62000,62100,7665046,-0.0095693779904306,62660.0,62855.0,61253.333333333336,64378.333333333336
61500,61800,61000,61100,11959088,-0.0161030595813204,62440.0,62740.0,61253.333333333336,64378.333333333336
61700,62500,61500,62000,13047099,0.0147299509001637,62100.0,62645.0,61253.333333333336,64378.333333333336
62300,62600,61300,61300,10308143,-0.0112903225806451,61840.0,62480.0,61253.333333333336,64378.333333333336
60800,60800,60200,60500,11155697,-0.0130505709624796,61400.0,62340.0,61253.333333333336,64378.333333333336
60800,61400,60500,60600,13715861,0.0016528925619834,61100.0,62320.0,61253.333333333336,64378.333333333336
60900,61800,60500,60800,13095682,0.0033003300330032,61040.0,62270.0,61253.333333333336,64378.333333333336
61000,61200,60500,60500,10711405,-0.0049342105263158,60740.0,62120.0,61253.333333333336,64378.333333333336
61100,61600,60800,61500,13630602,0.0165289256198346,60780.0,62005.0,61253.333333333336,64378.333333333336
61400,61400,60700,60700,11473280,-0.0130081300813008,60820.0,61960.0,61253.333333333336,64378.333333333336
60100,60500,59900,60300,14161857,-0.0065897858319604,60760.0,61880.0,61253.333333333336,64378.333333333336
60500,60800,59900,60100,14334499,-0.0033167495854062,60620.0,61730.0,61253.333333333336,64378.333333333336
59500,59700,59100,59500,11902471,-0.0099833610648918,60420.0,61555.0,61253.333333333336,64378.333333333336
59900,60200,59300,60000,12779724,0.0084033613445377,60120.0,61415.0,61253.333333333336,64378.333333333336
59400,59500,59000,59000,12147346,-0.0166666666666667,59780.0,61220.0,61253.333333333336,64378.333333333336
60000,60300,59600,59800,10482149,0.0135593220338983,59680.0,61050.0,61253.333333333336,64378.333333333336
59200,60200,59100,59900,10611939,0.0016722408026756,59640.0,60935.0,61253.333333333336,64378.333333333336
60800,61300,60600,61300,14090110,0.0233722871452419,60000.0,60815.0,61253.333333333336,64378.333333333336
61100,61200,60200,60200,9618009,-0.0179445350734094,60040.0,60695.0,61253.333333333336,64378.333333333336
60500,60700,60100,60300,8318514,0.0016611295681063,60300.0,60575.0,61253.333333333336,64378.333333333336
61000,61200,60500,61100,8978591,0.0132669983416251,60560.0,60525.0,61253.333333333336,64378.333333333336
60600,62300,60600,62300,15381057,0.0196399345335516,61040.0,60585.0,61253.333333333336,64378.333333333336
62700,63300,62300,63000,18278602,0.0112359550561798,61380.0,60635.0,61253.333333333336,64378.333333333336
62600,62800,62000,62100,11039331,-0.0142857142857142,61760.0,60675.0,61253.333333333336,64378.333333333336
62400,62900,62100,62900,11614118,0.0128824476650564,62280.0,60795.0,61253.333333333336,64378.333333333336
62500,62700,62200,62700,11216008,-0.0031796502384737,62600.0,60900.0,61253.333333333336,64378.333333333336
63700,63700,63100,63200,15684377,0.0079744816586921,62780.0,61020.0,61381.66666666666,64378.333333333336
64000,64000,63700,64000,14094479,0.0126582278481013,62980.0,61195.0,61525.0,64378.333333333336
64000,64000,63000,63100,11973133,-0.0140624999999999,63180.0,61275.0,61613.333333333336,64378.333333333336
63400,63800,62800,63600,11120514,0.0079239302694136,63320.0,61420.0,61703.333333333336,64378.333333333336
63700,64000,63400,63900,9176149,0.0047169811320755,63560.0,61600.0,61785.0,64378.333333333336
63500,63600,62300,62300,14992747,-0.0250391236306729,63380.0,61710.0,61811.66666666666,64378.333333333336
63800,65200,63800,65000,27476120,0.043338683788122,63580.0,61985.0,61888.333333333336,64378.333333333336
64800,66300,64700,65700,18777166,0.0107692307692308,64100.0,62270.0,61975.0,64378.333333333336
66200,66200,65400,65900,16323183,0.0030441400304415,64560.0,62615.0,62065.0,64378.333333333336
65800,66200,65300,66000,15021313,0.0015174506828528,64980.0,62925.0,62151.66666666666,64378.333333333336
65600,66100,65400,66100,15091022,0.0015151515151514,65740.0,63235.0,62235.0,64378.333333333336
66600,66600,65000,65100,16176490,-0.0151285930408472,65760.0,63425.0,62303.333333333336,64378.333333333336
65000,65600,64700,65300,13486618,0.0030721966205837,65680.0,63680.0,62385.0,64378.333333333336
65900,66000,64800,65600,14802060,0.0045941807044409,65620.0,63945.0,62453.333333333336,64378.333333333336
65500,65800,65300,65500,10255985,-0.0015243902439023,65520.0,64165.0,62515.0,64378.333333333336
65100,65300,64600,65300,9501169,-0.0030534351145038,65360.0,64315.0,62546.66666666666,64378.333333333336
65800,65900,65400,65700,10538622,0.006125574272588,65480.0,64450.0,62576.66666666666,64378.333333333336
65300,65700,64800,65200,12986581,-0.0076103500761035,65460.0,64605.0,62586.66666666666,64378.333333333336
65300,65400,63400,63600,16193271,-0.0245398773006134,65060.0,64640.0,62591.66666666666,64378.333333333336
63600,64300,63300,64100,12664541,0.0078616352201257,64780.0,64710.0,62643.333333333336,64378.333333333336
64100,65000,63300,64600,14779601,0.0078003120124805,64640.0,64780.0,62690.0,64378.333333333336
65200,65900,65000,65500,19699481,0.0139318885448915,64600.0,64855.0,62723.333333333336,64378.333333333336
66000,66300,65100,65700,14396948,0.0030534351145037,64700.0,64985.0,62755.0,64378.333333333336
65100,65600,64900,65400,8876749,-0.0045662100456621,65060.0,65075.0,62818.333333333336,64378.333333333336
65600,65700,64700,65100,9791064,-0.0045871559633027,65260.0,65135.0,62871.66666666666,64378.333333333336
66300,66300,65400,65900,9405365,0.0122887864823348,65520.0,65315.0,62918.333333333336,64378.333333333336
65800,65800,65100,65300,9366861,-0.0091047040971168,65480.0,65330.0,62956.66666666666,64378.333333333336
65500,65500,64300,64600,13057727,-0.0107197549770291,65260.0,65275.0,62986.66666666666,64378.333333333336
64700,65100,64200,64200,11648905,-0.0061919504643962,65020.0,65190.0,63008.333333333336,64378.333333333336
63700,64600,63600,64100,8693913,-0.0015576323987538,64820.0,65095.0,63023.333333333336,64378.333333333336
64100,64600,63900,64500,8172021,0.0062402496099844,64540.0,65015.0,63061.66666666666,64378.333333333336
65800,65900,65300,65400,12334657,0.013953488372093,64560.0,65030.0,63090.0,64378.333333333336
65900,65900,64800,65000,10745504,-0.0061162079510703,64640.0,65015.0,63130.0,64378.333333333336
66000,66200,65700,66200,14431704,0.0184615384615385,65040.0,65045.0,63188.333333333336,64378.333333333336
67800,68400,67500,68400,20349345,0.0332326283987916,65900.0,65190.0,63293.333333333336,64378.333333333336
68400,69000,68000,68500,14470308,0.0014619883040936,66700.0,65350.0,63416.66666666666,64378.333333333336
68500,68700,68100,68400,8561643,-0.0014598540145985,67300.0,65485.0,63523.333333333336,64378.333333333336
68100,68700,68000,68500,8192896,0.0014619883040936,68000.0,65650.0,63643.333333333336,64378.333333333336
69900,70000,68700,68800,14231160,0.0043795620437956,68520.0,65910.0,63781.66666666666,64378.333333333336
69800,70400,69500,70300,19549511,0.0218023255813952,68900.0,66220.0,63943.333333333336,64378.333333333336
71300,72300,71200,72300,27476897,0.0284495021337125,69660.0,66605.0,64135.0,64378.333333333336
72400,72500,71000,71400,25666087,-0.0124481327800829,70260.0,66900.0,64316.66666666666,64378.333333333336
70900,71600,70600,70900,14669296,-0.0070028011204481,70740.0,67160.0,64473.333333333336,64378.333333333336
71700,72200,71600,72200,12161798,0.0183356840620592,71420.0,67500.0,64665.0,64378.333333333336
72700,72700,71400,71700,12686829,-0.0069252077562327,71700.0,67830.0,64855.0,64378.333333333336
71300,71600,70800,71000,14796613,-0.00976290097629,71440.0,68085.0,65036.66666666666,64378.333333333336
70400,70900,70000,70900,19165568,-0.0014084507042253,71340.0,68365.0,65226.66666666666,64378.333333333336
71100,72300,70800,72000,15050209,0.0155148095909731,71560.0,68735.0,65426.66666666666,64378.333333333336
72100,72400,70800,71000,12064287,-0.0138888888888888,71320.0,69075.0,65626.66666666667,64378.333333333336
71700,72200,71600,72000,13227285,0.0140845070422535,71380.0,69470.0,65830.0,64378.333333333336
72100,72200,71100,71900,12541046,-0.0013888888888888,71560.0,69840.0,66030.0,64378.333333333336
72100,72300,71300,71500,13614994,-0.0055632823365785,71680.0,70145.0,66200.0,64378.333333333336
71800,71900,70900,71800,15373696,0.0041958041958041,71640.0,70485.0,66393.33333333333,64378.333333333336
71300,71700,70900,71200,11100887,-0.0083565459610027,71680.0,70735.0,66575.0,64378.333333333336
70700,71400,70400,71400,11557883,0.002808988764045,71560.0,70885.0,66746.66666666667,64378.333333333336
70700,71200,70400,70500,10626603,-0.0126050420168066,71280.0,70985.0,66883.33333333333,64378.333333333336
70200,71500,70100,71300,11411007,0.0113475177304964,71240.0,71130.0,67021.66666666667,64378.333333333336
72000,72200,71600,71600,12329484,0.0042075736325386,71200.0,71285.0,67180.0,64378.333333333336
71700,72500,71500,72400,10541901,0.0111731843575419,71440.0,71465.0,67338.33333333333,64378.333333333336
72500,72600,72000,72600,9442997,0.0027624309392264,71680.0,71580.0,67503.33333333333,64378.333333333336
72600,72700,72000,72700,8783093,0.0013774104683195,72120.0,71600.0,67661.66666666667,64521.66666666666
73100,73400,72400,72400,12229967,-0.0041265474552957,72340.0,71650.0,67801.66666666667,64663.333333333336
72500,72700,71700,72200,11694765,-0.0027624309392265,72460.0,71715.0,67953.33333333333,64783.333333333336
72700,73200,72600,73000,10722181,0.0110803324099721,72580.0,71755.0,68110.0,64906.66666666666
73400,73600,72900,73000,10214350,0.0,72660.0,71820.0,68261.66666666667,65023.333333333336
73000,73300,71900,72000,12310610,-0.0136986301369863,72520.0,71870.0,68423.33333333333,65117.5
71900,72400,71500,71600,14777667,-0.0055555555555555,72360.0,71905.0,68533.33333333333,65210.833333333336
71100,71400,69800,69900,17308877,-0.0237430167597765,71900.0,71800.0,68603.33333333333,65289.16666666666
70000,70400,69200,69500,11713926,-0.005722460658083,71200.0,71725.0,68663.33333333333,65364.16666666666
70200,71500,70100,71500,12177392,0.0287769784172662,70900.0,71700.0,68755.0,65453.333333333336
71200,72000,71100,71900,10375581,0.0055944055944054,70880.0,71700.0,68851.66666666667,65543.33333333333
72400,72600,71900,71900,14417279,0.0,70940.0,71720.0,68965.0,65634.16666666667
72500,73400,72400,73400,15882519,0.0208623087621697,71640.0,71800.0,69100.0,65742.5
73200,73500,72800,73300,10060049,-0.0013623978201634,72400.0,71905.0,69228.33333333333,65840.83333333333
73200,73500,72000,72000,11697900,-0.0177353342428376,72500.0,71935.0,69336.66666666667,65925.83333333333
72700,72800,71300,71700,10896412,-0.0041666666666666,72460.0,71995.0,69443.33333333333,65995.0
71100,71500,70800,71000,9732730,-0.00976290097629,72280.0,71980.0,69531.66666666667,66054.16666666667
70400,70400,69400,70300,16528926,-0.0098591549295774,71660.0,71915.0,69616.66666666667,66101.66666666667
70100,70900,69900,70400,13418597,0.0014224751066855,71080.0,71815.0,69730.0,66160.83333333333
70000,70500,69800,70000,14314945,-0.0056818181818182,70680.0,71685.0,69828.33333333333,66235.83333333333
69800,70600,68100,69800,30016221,-0.0028571428571428,70300.0,71540.0,69915.0,66302.5
69900,71700,69300,71700,24261179,0.0272206303724928,70440.0,71505.0,70018.33333333333,66370.83333333333
71800,72400,70100,70600,19420683,-0.0153417015341701,70500.0,71425.0,70100.0,66427.5
70900,71000,69800,69800,13035420,-0.0113314447592067,70380.0,71265.0,70173.33333333333,66495.83333333333
70100,71200,70000,71100,12299254,0.0186246418338109,70600.0,71170.0,70273.33333333333,66572.5
70700,71000,69800,69900,13835020,-0.0168776371308017,70620.0,71065.0,70340.0,66629.16666666667
69900,70200,68500,68800,20087090,-0.0157367668097281,70040.0,70925.0,70398.33333333333,66677.5
68800,69100,68200,68300,12360193,-0.0072674418604651,69580.0,70845.0,70460.0,66723.33333333333
67700,69200,67600,68500,10968505,0.0029282576866764,69320.0,70795.0,70531.66666666667,66770.0
69000,69100,67400,67600,14664709,-0.0131386861313869,68620.0,70600.0,70590.0,66806.66666666667
68000,69600,67900,68900,17259673,0.0192307692307691,68420.0,70450.0,70663.33333333333,66862.5
68300,68500,67800,68000,10227311,-0.0130624092888244,68260.0,70255.0,70706.66666666667,66898.33333333333
68400,68800,67500,67500,9781038,-0.0073529411764705,68100.0,69960.0,70748.33333333333,66939.16666666667
67500,67900,66900,67300,9352343,-0.0029629629629629,67860.0,69660.0,70766.66666666667,66977.5
66700,67100,66300,67000,13174578,-0.0044576523031203,67740.0,69410.0,70743.33333333333,67018.33333333333
66300,66800,66000,66700,10778652,-0.0044776119402984,67300.0,69160.0,70713.33333333333,67065.0
66000,66700,65800,66300,11745006,-0.0059970014992504,66960.0,68925.0,70678.33333333333,67100.83333333333
66600,67100,66300,66600,9720067,0.004524886877828,66780.0,68740.0,70646.66666666667,67145.0
67200,67700,66300,66600,10500242,0.0,66640.0,68550.0,70610.0,67195.83333333333
66700,67100,66400,67100,9549352,0.0075075075075075,66660.0,68405.0,70556.66666666667,67250.0
68300,68700,67900,68200,15044463,0.0163934426229508,66960.0,68325.0,70488.33333333333,67311.66666666667
67100,67400,66900,67100,7032462,-0.0161290322580645,67120.0,68095.0,70416.66666666667,67366.66666666667
66800,67000,66500,66800,5824628,-0.0044709388971684,67160.0,67905.0,70348.33333333333,67410.83333333333
66900,67200,66600,66800,9114352,0.0,67200.0,67755.0,70258.33333333333,67461.66666666667
67300,67700,67100,67100,9181223,0.0044910179640718,67200.0,67555.0,70181.66666666667,67518.33333333333
67100,67200,66400,66900,15964630,-0.0029806259314456,66940.0,67405.0,70113.33333333333,67575.0
66800,71000,66700,71000,29738235,0.0612855007473842,67720.0,67515.0,70115.0,67670.83333333333
72900,72900,70700,71200,26286495,0.0028169014084507,68600.0,67660.0,70101.66666666667,67764.16666666667
70900,71500,70200,70700,12330239,-0.0070224719101124,69380.0,67770.0,70096.66666666667,67861.66666666667
70700,70800,69700,70000,11414620,-0.0099009900990099,69960.0,67890.0,70063.33333333333,67946.66666666667
70000,70600,69600,70400,13741241,0.0057142857142857,70660.0,67965.0,70038.33333333333,68034.16666666667
70200,70300,69600,70300,10688118,-0.0014204545454545,70520.0,68080.0,70018.33333333333,68109.16666666667
70400,70800,70000,70800,11785462,0.0071123755334281,70440.0,68245.0,70001.66666666667,68197.5
70800,71000,70400,70500,11688599,-0.0042372881355932,70400.0,68405.0,69990.0,68282.5
71100,71600,70300,70900,15955797,0.0056737588652482,70580.0,68600.0,69981.66666666667,68364.16666666667
71200,71800,70800,71700,21041407,0.0112834978843441,70840.0,68850.0,70001.66666666667,68442.5
71700,72300,71400,72000,17823512,0.0041841004184099,71180.0,69135.0,70013.33333333333,68517.5
71300,71700,70200,70200,16040727,-0.025,71060.0,69315.0,69990.0,68585.0
70400,70800,69600,69800,11820188,-0.0056980056980057,70920.0,69475.0,69946.66666666667,68642.5
70000,70300,69500,69600,10873015,-0.0028653295128939,70660.0,69600.0,69896.66666666667,68700.0
69200,69800,68800,68900,10796336,-0.0100574712643678,70100.0,69635.0,69833.33333333333,68747.5
68300,68900,68300,68800,9897840,-0.0014513788098693,69460.0,69720.0,69773.33333333333,68787.5
68500,69700,68500,69400,13582516,0.0087209302325581,69300.0,69850.0,69726.66666666667,68840.0
70000,70000,68400,68600,13143470,-0.0115273775216138,69060.0,69940.0,69653.33333333333,68881.66666666667
68600,69100,68200,68400,14886491,-0.0029154518950437,68820.0,70005.0,69576.66666666667,68919.16666666667
67400,67700,66700,67500,23361149,-0.0131578947368421,68540.0,70035.0,69501.66666666667,68962.5
67300,67400,66700,66700,16108313,-0.0118518518518518,68120.0,69820.0,69420.0,68976.66666666667
67100,67300,66000,66000,14386527,-0.0104947526236881,67440.0,69560.0,69355.0,68979.16666666667
66200,67600,66200,66400,19889202,0.0060606060606061,67000.0,69345.0,69303.33333333333,68983.33333333333
68600,69400,67900,68200,25209349,0.0271084337349396,66960.0,69255.0,69248.33333333333,69001.66666666667
