Open,High,Low,Close,Volume,Change,MACD,RSI,TR,ATR,Upper_band,Lower_band,Log_Return,PriceChange,PosSum,NegSum
82000,83800,81000,83700,82484,0.00965018094089265,250.38816100917757,52.29919209969002,2800.0,3415.0,90010.0,76350.0,0.009603915354180353,800.0,10.0,4.0
84500,85300,83800,85300,63572,0.019115890083632125,392.72062013455434,56.950437293906205,1600.0,2795.0,88920.0,77740.0,0.018935477002203903,1600.0,10.0,4.0
85600,85800,84300,85600,40097,0.003516998827667095,523.6908303309756,57.78168479571372,1500.0,2520.0,88250.0,78170.0,0.003510828650063021,300.0,10.0,4.0
86000,86000,84600,85000,40475,-0.007009345794392496,572.4715838429256,55.47456475664825,1400.0,2325.0,87970.0,78670.0,-0.007034026657379936,-600.0,9.0,5.0
84100,85900,84100,85600,38950,0.007058823529411784,652.0294780891127,57.31020975313357,1800.0,2185.0,87795.0,79055.0,0.007034026657379982,600.0,10.0,4.0
85000,87300,84500,85300,75619,-0.003504672897196248,682.999002320852,56.065604251889084,2800.0,2165.0,87940.0,79280.0,-0.00351082865006297,-300.0,9.0,5.0
85200,86900,84600,86500,60086,0.014067995310668158,795.2059058947925,59.82406790223878,2300.0,2145.0,88175.0,79595.0,0.013969959440200132,1200.0,9.0,5.0
87200,90000,86600,89400,106552,0.03352601156069368,1105.394153357047,67.14006923513539,3500.0,2215.0,88675.0,79815.0,0.03297626824163486,2900.0,9.0,5.0
89400,98500,89200,95300,239188,0.06599552572706946,1806.4773198490584,76.51143666479248,9300.0,2590.0,90025.0,79665.0,0.06390912848068807,5900.0,9.0,5.0
95200,95200,91000,92200,129941,-0.03252885624344182,2087.8789195809804,65.88016184589756,4300.0,2710.0,90645.0,79805.0,-0.03306968009760834,-3100.0,9.0,5.0
91900,95800,90900,95400,94515,0.03470715835141003,2539.8274217118887,70.44534175757418,4900.0,2710.0,91390.0,80550.0,0.034118447891692744,3200.0,9.0,5.0
96400,96400,92400,92500,63817,-0.03039832285115307,2633.6351949288655,62.30891321785704,4000.0,2835.0,92205.0,80865.0,-0.030869933935861363,-2900.0,9.0,5.0
92700,94800,90800,93600,98102,0.011891891891891992,2764.8676646010863,64.00707120439355,4000.0,2945.0,92955.0,81175.0,0.011821738965166953,1100.0,9.0,5.0
93000,95400,93000,94300,78239,0.007478632478632452,2892.0171190211986,65.0851238651717,2400.0,3005.0,93625.0,81605.0,0.007450806155865421,700.0,10.0,4.0
94400,94800,93100,93900,50476,-0.0042417815482502785,2926.769345486842,63.90719469386022,1700.0,2975.0,94005.0,82105.0,-0.0042508034251946,-400.0,9.0,5.0
93800,93800,91100,92200,60684,-0.018104366347177825,2785.0308409173595,59.018434440186084,2800.0,3040.0,94535.0,82375.0,-0.018270255651669055,-1700.0,8.0,6.0
91400,92000,89000,89600,101907,-0.02819956616052066,2434.8365043923404,52.414408303841064,3200.0,3090.0,94875.0,82515.0,-0.028604810581663413,-2600.0,7.0,7.0
89300,91000,89300,90800,74316,0.013392857142857206,2228.446793389623,54.921570643657915,1700.0,3025.0,95180.0,83080.0,0.013303965626362886,1200.0,8.0,6.0
90300,90800,88600,90300,54611,-0.005506607929515406,2001.464007921517,53.65311477255799,2200.0,2995.0,95460.0,83480.0,-0.005521825184307861,-500.0,7.0,7.0
89700,91400,87300,87300,104709,-0.03322259136212624,1561.5035462821688,46.68597140031408,4100.0,3115.0,95920.0,83460.0,-0.03378699757738321,-3000.0,7.0,7.0
88000,88800,87300,87400,59116,0.001145475372279492,1206.987474669775,46.933340238307274,1500.0,3050.0,95975.0,83775.0,0.0011448198159332513,100.0,7.0,7.0
87500,88700,85500,86400,47663,-0.011441647597253968,835.7057949202281,44.69980014295958,3200.0,3130.0,96190.0,83670.0,-0.011507606851479802,-1000.0,6.0,8.0
86900,87600,84300,85200,61294,-0.01388888888888884,439.56538149915286,42.11001567649494,3300.0,3220.0,96350.0,83470.0,-0.01398624197473984,-1200.0,5.0,9.0
85300,88700,85100,86300,103961,0.012910798122065748,211.93895638007962,45.24187831067883,3600.0,3330.0,96635.0,83315.0,0.012828164254112234,1100.0,6.0,8.0
86900,87700,85400,86900,47383,0.006952491309385911,79.04715372118517,46.92844807178911,2300.0,3355.0,96750.0,83330.0,0.00692843418196414,600.0,6.0,8.0
86200,89000,86200,87300,49147,0.004602991944764101,5.9376541597011965,48.07663350767609,2800.0,3355.0,96850.0,83430.0,0.004592430574210171,400.0,7.0,7.0
88400,92300,88400,91700,98648,0.05040091638029787,299.58761713393324,58.669204416532416,5000.0,3490.0,97380.0,83420.0,0.049171916416862686,4400.0,7.0,7.0
91800,92600,90200,92500,58778,0.008724100327153872,590.0588118615124,60.25674193573244,2400.0,3435.0,97425.0,83685.0,0.008686265255960453,800.0,7.0,7.0
92100,94500,90400,93300,87262,0.00864864864864856,874.7293056012131,61.835426384692546,4100.0,3175.0,96805.0,84105.0,0.008611463334918544,800.0,8.0,6.0
93400,96700,93400,96000,150398,0.02893890675241151,1303.177933965926,66.6502744660911,3400.0,3130.0,96905.0,84385.0,0.02852808361453803,2700.0,9.0,5.0
96000,96600,95300,96600,135228,0.006250000000000089,1671.869276029829,67.6276655267089,1300.0,2950.0,96605.0,84805.0,0.006230549750636163,600.0,10.0,4.0
96700,97500,96200,97000,55832,0.0041407867494824835,1973.5862047006522,68.29477989616575,1300.0,2815.0,96560.0,85300.0,0.004132237284910591,400.0,10.0,4.0
96300,97300,95600,97100,70406,0.0010309278350515427,2195.4603088763542,68.46971576017265,1700.0,2700.0,96505.0,85705.0,0.0010303967938964016,100.0,11.0,3.0
97400,98700,96500,97500,87986,0.004119464469618972,2376.182637687787,69.20172925762743,2200.0,2690.0,96645.0,85885.0,0.004111002706522288,400.0,12.0,2.0
96200,99400,96100,99100,117504,0.016410256410256396,2618.330529062121,72.00178233228431,3300.0,2770.0,97065.0,85985.0,0.0162770633321408,1600.0,12.0,2.0
99500,100500,98400,99400,119851,0.003027245206861817,2802.1406373575446,72.50650845539212,2100.0,2735.0,97355.0,86415.0,0.0030226723265861072,300.0,13.0,1.0
99900,100000,95500,95900,96876,-0.035211267605633756,2635.0159001262364,59.11688377644024,4500.0,2800.0,97800.0,86600.0,-0.03584613177313577,-3500.0,13.0,1.0
95700,99400,94400,99000,88680,0.03232533889468203,2721.342491752701,65.239724404599,5000.0,2965.0,98540.0,86680.0,0.03181386824519746,3100.0,13.0,1.0
98500,99100,96400,98000,53926,-0.010101010101010055,2678.1927559414908,62.013333175727745,2700.0,2990.0,98975.0,87015.0,-0.010152371464017962,-1000.0,12.0,2.0
96300,97700,94000,95100,210687,-0.0295918367346939,2382.5262363635848,53.716782280539384,4000.0,2985.0,99355.0,87415.0,-0.03003850911922732,-2900.0,11.0,3.0
95500,98400,94900,97000,130721,0.019978969505783484,2275.2943337157776,57.708886857037264,3500.0,3085.0,100035.0,87695.0,0.019782008952038296,1900.0,11.0,3.0
94700,96000,94200,95000,121490,-0.020618556701030966,2005.80729507473,52.568831819048455,2800.0,3065.0,100425.0,88165.0,-0.020834086902842025,-2000.0,10.0,4.0
93400,94700,90500,91000,161332,-0.04210526315789476,1452.724204457656,44.10727984964051,4500.0,3125.0,100835.0,88335.0,-0.043017385083690816,-4000.0,9.0,5.0
90600,94000,90600,94000,94760,0.03296703296703307,1242.1579744362243,50.53773412201382,3400.0,3115.0,101200.0,88740.0,0.032435275753153955,3000.0,9.0,5.0
92800,95300,92300,94300,58961,0.0031914893617022155,1086.960409895939,51.143071170768486,3000.0,3150.0,101640.0,89040.0,0.003186407369408002,300.0,9.0,5.0
93500,95200,92400,94800,41409,0.005302226935312904,992.865903092068,52.193208928986955,2800.0,3150.0,102015.0,89415.0,0.005288219621564382,500.0,9.0,5.0
93800,95100,92800,93800,40727,-0.010548523206751037,828.0583447347017,49.88383314537628,2300.0,3015.0,101850.0,89790.0,-0.010604553248797112,-1000.0,8.0,6.0
93800,94000,93000,93800,31656,0.0,689.4990514947713,49.88383314537628,1000.0,2945.0,101775.0,89995.0,0.0,0.0,7.0,6.0
93700,94000,92600,93000,43544,-0.008528784648187626,509.2659977997391,47.91672999057647,1400.0,2810.0,101490.0,90250.0,-0.008565362858923046,-800.0,6.0,7.0
92100,95100,92100,94700,75668,0.018279569892473146,497.86669934577367,52.22781002424551,3000.0,2790.0,101385.0,90225.0,0.01811450703877665,1700.0,6.0,7.0
93300,95500,92500,93100,68072,-0.0168954593453009,355.6266028437385,48.18523946833394,3000.0,2875.0,101380.0,89880.0,-0.017039815909011123,-1600.0,6.0,7.0
92600,95700,92600,95600,62675,0.02685284640171859,439.5624064066069,54.15616242287487,3100.0,2965.0,101490.0,89630.0,0.02649863577433422,2500.0,6.0,7.0
94400,95600,93500,94600,58262,-0.010460251046025104,420.54273789994477,51.594982345860046,2100.0,2985.0,101405.0,89465.0,-0.010515343999523008,-1000.0,6.0,7.0
94000,102000,94000,100500,241723,0.06236786469344602,871.5040490368847,62.77937863629186,8000.0,3275.0,102135.0,89035.0,0.06050025144129778,5900.0,7.0,6.0
99800,103500,99800,100500,243765,0.0,1214.8896455226786,62.77937863629186,3700.0,3295.0,102245.0,89065.0,0.0,0.0,6.0,6.0
100500,107000,100000,105500,146117,0.04975124378109452,1868.939447378798,69.66771894679357,7000.0,3540.0,103040.0,88880.0,0.04855322541699074,5000.0,7.0,5.0
106000,108500,103000,106000,105842,0.004739336492890933,2399.959212965463,70.26043979191253,5500.0,3590.0,103645.0,89285.0,0.004728141195945896,500.0,8.0,4.0
103500,107500,103000,105500,124938,-0.004716981132075526,2748.764337422632,68.81234767970663,4500.0,3565.0,103920.0,89660.0,-0.004728141195946012,-500.0,7.0,5.0
