Open,High,Low,Close,Volume,Change,ma5,ma20,ma60,ma120,obv
6000,6110,5660,6110,1483967,0.1484962406015038,5724.0,5763.5,5655.666666666667,6107.083333333333,0
5800,6060,5520,5580,1493604,-0.0867430441898526,5724.0,5763.5,5655.666666666667,6107.083333333333,-1493604
5750,5780,5580,5620,1087810,0.007168458781362,5724.0,5763.5,5655.666666666667,6107.083333333333,-405794
5560,5670,5360,5540,806195,-0.0142348754448398,5724.0,5763.5,5655.666666666667,6107.083333333333,-1211989
5600,5770,5580,5770,937615,0.0415162454873645,5724.0,5763.5,5655.666666666667,6107.083333333333,-274374
5820,6100,5770,5770,1194974,0.0,5656.0,5763.5,5655.666666666667,6107.083333333333,-274374
5610,5740,5600,5720,584492,-0.0086655112651646,5684.0,5763.5,5655.666666666667,6107.083333333333,-858866
5600,5740,5560,5710,823830,-0.0017482517482517,5702.0,5763.5,5655.666666666667,6107.083333333333,-1682696
5720,5880,5680,5830,987576,0.0210157618213659,5760.0,5763.5,5655.666666666667,6107.083333333333,-695120
6000,6180,5920,6100,1270138,0.0463121783876501,5826.0,5763.5,5655.666666666667,6107.083333333333,575018
6160,6160,5980,6100,905231,0.0,5892.0,5763.5,5655.666666666667,6107.083333333333,575018
6000,6040,5960,5960,804159,-0.0229508196721311,5940.0,5763.5,5655.666666666667,6107.083333333333,-229141
5860,6040,5820,6040,746360,0.0134228187919462,6006.0,5763.5,5655.666666666667,6107.083333333333,517219
5950,5980,5880,5880,650728,-0.0264900662251655,6016.0,5763.5,5655.666666666667,6107.083333333333,-133509
5800,5900,5700,5700,687183,-0.0306122448979592,5936.0,5763.5,5655.666666666667,6107.083333333333,-820692
5520,5640,5440,5440,885067,-0.0456140350877193,5804.0,5763.5,5655.666666666667,6107.083333333333,-1705759
5500,5520,5410,5480,585734,0.0073529411764705,5708.0,5763.5,5655.666666666667,6107.083333333333,-1120025
5480,5620,5430,5520,558083,0.0072992700729928,5604.0,5763.5,5655.666666666667,6107.083333333333,-561942
5640,5880,5540,5820,766398,0.0543478260869565,5592.0,5763.5,5655.666666666667,6107.083333333333,204456
5640,5730,5560,5580,792689,-0.0412371134020618,5568.0,5763.5,5655.666666666667,6107.083333333333,-588233
5600,5680,5260,5320,1429402,-0.046594982078853,5544.0,5724.0,5655.666666666667,6107.083333333333,-2017635
5220,5370,5110,5250,1282143,-0.0131578947368421,5498.0,5707.5,5655.666666666667,6107.083333333333,-3299778
5250,5460,4970,5130,2855355,-0.0228571428571429,5420.0,5683.0,5655.666666666667,6107.083333333333,-6155133
5140,5330,5040,5240,1282835,0.0214424951267055,5304.0,5668.0,5655.666666666667,6107.083333333333,-4872298
5340,5480,5310,5430,1169244,0.0362595419847329,5274.0,5651.0,5655.666666666667,6107.083333333333,-3703054
5560,5720,5480,5720,1021023,0.0534069981583793,5354.0,5648.5,5655.666666666667,6107.083333333333,-2682031
5660,5880,5600,5760,1236979,0.006993006993007,5456.0,5650.5,5655.666666666667,6107.083333333333,-1445052
5960,5960,5680,5700,693257,-0.0104166666666666,5570.0,5650.0,5655.666666666667,6107.083333333333,-2138309
5600,5660,5340,5380,882889,-0.0561403508771929,5598.0,5627.5,5655.666666666667,6107.083333333333,-3021198
5380,5420,5140,5200,766393,-0.0334572490706319,5552.0,5582.5,5655.666666666667,6107.083333333333,-3787591
5180,5200,4780,5000,1462389,-0.0384615384615384,5408.0,5527.5,5655.666666666667,6107.083333333333,-5249980
4939,5099,4910,5080,1303738,0.016,5272.0,5483.5,5655.666666666667,6107.083333333333,-3946242
5370,5630,5160,5300,2175083,0.0433070866141731,5192.0,5446.5,5655.666666666667,6107.083333333333,-1771159
5200,5260,5030,5070,529722,-0.0433962264150943,5130.0,5406.0,5655.666666666667,6107.083333333333,-2300881
5000,5240,5000,5120,483669,0.009861932938856,5114.0,5377.0,5655.666666666667,6107.083333333333,-1817212
5220,5260,5100,5140,554497,0.00390625,5142.0,5362.0,5655.666666666667,6107.083333333333,-1262715
5120,5240,5060,5070,521526,-0.0136186770428015,5140.0,5341.5,5655.666666666667,6107.083333333333,-1784241
5080,5150,4980,5120,557527,0.009861932938856,5104.0,5321.5,5655.666666666667,6107.083333333333,-1226714
5000,5050,4800,4800,602864,-0.0625,5050.0,5270.5,5655.666666666667,6107.083333333333,-1829578
4900,5140,4840,5120,1036420,0.0666666666666666,5050.0,5247.5,5655.666666666667,6107.083333333333,-793158
5880,5880,5520,5880,2355092,0.1484375,5198.0,5275.5,5655.666666666667,6107.083333333333,1561934
6200,6250,5880,6000,2819891,0.0204081632653061,5384.0,5313.0,5655.666666666667,6107.083333333333,4381825
6000,6050,5600,5640,783020,-0.06,5488.0,5338.5,5655.666666666667,6107.083333333333,3598805
5600,5640,5480,5620,601414,-0.00354609929078,5652.0,5357.5,5655.666666666667,6107.083333333333,2997391
5520,6000,5500,5920,649288,0.0533807829181494,5812.0,5382.0,5655.666666666667,6107.083333333333,3646679
5970,5980,5620,5620,1117890,-0.0506756756756756,5760.0,5377.0,5655.666666666667,6107.083333333333,2528789
5790,5800,5520,5540,572199,-0.0142348754448398,5668.0,5366.0,5655.666666666667,6107.083333333333,1956590
5480,5490,5160,5180,644358,-0.0649819494584837,5576.0,5340.0,5655.666666666667,6107.083333333333,1312232
5170,5380,5160,5210,601241,0.0057915057915058,5494.0,5331.5,5655.666666666667,6107.083333333333,1913473
5200,5400,5120,5400,922141,0.0364683301343569,5390.0,5341.5,5655.666666666667,6107.083333333333,2835614
